[2026-02-21 21:09:31] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Av553k4v5tUu59Lw2vSIewB"}
[2026-02-21 21:13:47] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A_lHOMp_cYfgUoWkPt737Ec"}
[2026-02-21 21:13:48] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ACotpJB1FJJ_z11P5x7NOu2"}
[2026-02-21 21:13:48] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AwA_Z3Dj5UeIa2i4B8VfB4x"}
[2026-02-21 21:13:48] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AicSiVbnv0rSLw1xoSCh4lT"}
[2026-02-21 21:13:49] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"An06s4OmLQFQFuGpFkM1FhH"}
[2026-02-21 21:13:50] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AMoQs9-YccfAGtMMxj1zkEW"}
[2026-02-21 21:13:52] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A_jixwq2lR078dBVPUEwOSb"}
[2026-02-21 21:13:52] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Aoe_oG375uo6pX5MxEsUvuQ"}
[2026-02-21 21:14:46] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AQP5uUugmZSAkiYsRJsnRjB"}
[2026-02-21 21:14:46] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A54IQxDHWhkRVIOMthJ7gM-"}
[2026-02-21 21:14:49] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AEgUxv_4rZLy2VFwSmMQPfs"}
[2026-02-21 21:14:49] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AGZEyLOYa4wHVQMytWDlmhW"}
[2026-02-21 21:24:11] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AJEeAVyVrtZ_HTMmUfoItju"}
[2026-02-21 21:24:11] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A5edP_RNccRROA4I8wb1l-4"}
[2026-02-21 21:25:41] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AYYOHI8-7ZHk0ldvXICf_7e"}
[2026-02-21 21:25:41] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Ay6DgFCr9BtrugGvsEV_4c1"}
[2026-02-21 21:28:35] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"At0P27HYZv8EQUuTQIlUMzL"}
[2026-02-21 21:28:35] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AYYHDuqnHvhlo9s1D4jW-ag"}
[2026-02-21 21:28:36] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AbWjqEfzY2ENS_OdFAB0NQD"}
[2026-02-21 21:28:36] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ALW8qfI9alfL9KtwsNy-8oq"}
[2026-02-21 21:28:39] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AauqYPZl64TrMJcQaGCNQxA"}
[2026-02-21 21:28:40] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Aox3h4BWhXgSr04chS1gA98"}
[2026-02-21 21:35:34] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AqUMH58bC6tzPMankvDGyW-"}
